seed,d,op_set,n_ops,eff_ops,noise,truth,selection,mse_test,nmse_test,recovered,model,complexity,cv_score,time_s
20290739,1,full,4,5,0.0,((x0 * (x0 + log(x0))) + 2.89),extrap-CV,4.133138105292339e-28,1.5390952510170305e-30,True,1*(log(x0) * x0) + 2.89 + 1*x0^2,3,-27.631021115928547,0.0710899829864502
20290739,1,full,4,5,0.0,((x0 * (x0 + log(x0))) + 2.89),interior-CV,4.133138105292339e-28,1.5390952510170305e-30,True,1*(log(x0) * x0) + 2.89 + 1*x0^2,3,-27.631021115928547,0.0710899829864502
20290739,1,full,4,5,0.0,((x0 * (x0 + log(x0))) + 2.89),train-MSE,4.133138105292339e-28,1.5390952510170305e-30,True,1*(log(x0) * x0) + 2.89 + 1*x0^2,3,,0.0710899829864502
20290740,1,full,4,6,0.0,(-2.64 + (sqrt(x0) * (x0)^2)),extrap-CV,3.2343297114061484e-28,2.403924157673042e-31,True,1*(sqrt(x0) * (x0)^2) + -2.64,3,-27.631021115928547,0.6673727035522461
20290740,1,full,4,6,0.0,(-2.64 + (sqrt(x0) * (x0)^2)),interior-CV,3.2343297114061484e-28,2.403924157673042e-31,True,1*(sqrt(x0) * (x0)^2) + -2.64,3,-27.631021115928547,0.6673727035522461
20290740,1,full,4,6,0.0,(-2.64 + (sqrt(x0) * (x0)^2)),train-MSE,3.2343297114061484e-28,2.403924157673042e-31,True,1*(sqrt(x0) * (x0)^2) + -2.64,3,,0.6673727035522461
20290741,1,full,4,5,0.0,log((cos(x0) + (x0 + x0))),extrap-CV,0.29488525980150104,13.281602190744485,False,0.983*log(((((exp((x0 * 0.648)))^2 + 2.2) * 0.163) + x0)) + 0.623 + -0.298*x0 + -0.0565*x0^2,9,-4.863679969531301,457.5209541320801
20290741,1,full,4,5,0.0,log((cos(x0) + (x0 + x0))),interior-CV,0.29488525980150104,13.281602190744485,False,0.983*log(((((exp((x0 * 0.648)))^2 + 2.2) * 0.163) + x0)) + 0.623 + -0.298*x0 + -0.0565*x0^2,9,-7.34827589983082,457.5209541320801
20290741,1,full,4,5,0.0,log((cos(x0) + (x0 + x0))),train-MSE,0.29488525980150104,13.281602190744485,False,0.983*log(((((exp((x0 * 0.648)))^2 + 2.2) * 0.163) + x0)) + 0.623 + -0.298*x0 + -0.0565*x0^2,9,,457.5209541320801
20290742,1,full,4,3,0.0,cos(((-0.78 / (-1.41 / x0)))^2),extrap-CV,0.0030505682338837084,0.006306245187755922,False,0.999*cos((((0.999 - cos((sqrt(x0) * 0.206))) * x0) * 14.7)) + -0.000602 + 2.9e-05*x0 + -9.31e-05*x0^2,9,-7.972732382425574,493.1106970310211
20290742,1,full,4,3,0.0,cos(((-0.78 / (-1.41 / x0)))^2),interior-CV,0.0030505682338837084,0.006306245187755922,False,0.999*cos((((0.999 - cos((sqrt(x0) * 0.206))) * x0) * 14.7)) + -0.000602 + 2.9e-05*x0 + -9.31e-05*x0^2,9,-13.878138332199041,493.1106970310211
20290742,1,full,4,3,0.0,cos(((-0.78 / (-1.41 / x0)))^2),train-MSE,0.0030505682338837084,0.006306245187755922,False,0.999*cos((((0.999 - cos((sqrt(x0) * 0.206))) * x0) * 14.7)) + -0.000602 + 2.9e-05*x0 + -9.31e-05*x0^2,9,,493.1106970310211
20290743,1,full,4,2,0.0,((((x0 - x0) + x0) * x0) + x0),extrap-CV,1.0486919658781826e-28,6.379558109398256e-31,True,0.5*x0 + 0.5*x0 + 1*x0^2,2,-27.631021115928547,0.005476713180541992
20290743,1,full,4,2,0.0,((((x0 - x0) + x0) * x0) + x0),interior-CV,1.0486919658781826e-28,6.379558109398256e-31,True,0.5*x0 + 0.5*x0 + 1*x0^2,2,-27.631021115928547,0.005476713180541992
20290743,1,full,4,2,0.0,((((x0 - x0) + x0) * x0) + x0),train-MSE,1.0486919658781826e-28,6.379558109398256e-31,True,0.5*x0 + 0.5*x0 + 1*x0^2,2,,0.005476713180541992
20290744,1,full,4,5,0.0,(x0 - ((x0)^2 - log(x0))),extrap-CV,8.00693818799327e-29,4.879153452339956e-31,True,1*log(x0) + 1*x0 + -1*x0^2,3,-27.631021115928547,0.028522014617919922
20290744,1,full,4,5,0.0,(x0 - ((x0)^2 - log(x0))),interior-CV,8.00693818799327e-29,4.879153452339956e-31,True,1*log(x0) + 1*x0 + -1*x0^2,3,-27.631021115928547,0.028522014617919922
20290744,1,full,4,5,0.0,(x0 - ((x0)^2 - log(x0))),train-MSE,8.00693818799327e-29,4.879153452339956e-31,True,1*log(x0) + 1*x0 + -1*x0^2,3,,0.028522014617919922
20290745,1,full,4,4,0.0,(log(((x0 * x0) * x0)) + x0),extrap-CV,2.6506959010590404e-29,6.061228797815803e-31,True,3*log(x0) + 1*x0,2,-27.631021115928547,0.03271889686584473
20290745,1,full,4,4,0.0,(log(((x0 * x0) * x0)) + x0),interior-CV,2.6506959010590404e-29,6.061228797815803e-31,True,3*log(x0) + 1*x0,2,-27.631021115928547,0.03271889686584473
20290745,1,full,4,4,0.0,(log(((x0 * x0) * x0)) + x0),train-MSE,2.6506959010590404e-29,6.061228797815803e-31,True,3*log(x0) + 1*x0,2,,0.03271889686584473
20290746,1,full,4,4,0.0,(sin((x0 * sin(x0))) - x0),extrap-CV,1.0322984501915584e-30,2.4043284536799666e-32,True,1*sin((sin(x0) * x0)) + -1*x0,4,-27.631021115928547,0.6772079467773438
20290746,1,full,4,4,0.0,(sin((x0 * sin(x0))) - x0),interior-CV,1.0322984501915584e-30,2.4043284536799666e-32,True,1*sin((sin(x0) * x0)) + -1*x0,4,-27.631021115928547,0.6772079467773438
20290746,1,full,4,4,0.0,(sin((x0 * sin(x0))) - x0),train-MSE,1.0322984501915584e-30,2.4043284536799666e-32,True,1*sin((sin(x0) * x0)) + -1*x0,4,,0.6772079467773438
20290747,1,full,4,3,0.0,cos((log(exp(x0)) + 1.81)),extrap-CV,8.760060914918297e-32,2.0709706944303787e-31,True,-1*((-6.25e-18 / cos(sqrt(x0))) + sin((x0 + 0.239))),6,-27.631021115928547,149.36968898773193
20290747,1,full,4,3,0.0,cos((log(exp(x0)) + 1.81)),interior-CV,8.760060914918297e-32,2.0709706944303787e-31,True,-1*((-6.25e-18 / cos(sqrt(x0))) + sin((x0 + 0.239))),6,-27.631021115928547,149.36968898773193
20290747,1,full,4,3,0.0,cos((log(exp(x0)) + 1.81)),train-MSE,8.760060914918297e-32,2.0709706944303787e-31,True,-1*((-6.25e-18 / cos(sqrt(x0))) + sin((x0 + 0.239))),6,,149.36968898773193
20290748,1,full,4,5,0.0,(sqrt(x0) + (x0 + (2.28 / -0.92))),extrap-CV,1.5869662741750823e-30,3.8373807150002717e-32,True,1*sqrt(x0) + -2.48 + 1*x0,2,-27.631021115928547,0.06989002227783203
20290748,1,full,4,5,0.0,(sqrt(x0) + (x0 + (2.28 / -0.92))),interior-CV,1.5869662741750823e-30,3.8373807150002717e-32,True,1*sqrt(x0) + -2.48 + 1*x0,2,-27.631021115928547,0.06989002227783203
20290748,1,full,4,5,0.0,(sqrt(x0) + (x0 + (2.28 / -0.92))),train-MSE,1.5869662741750823e-30,3.8373807150002717e-32,True,1*sqrt(x0) + -2.48 + 1*x0,2,,0.06989002227783203
20290749,1,full,4,5,0.0,sqrt(cos(((2.97 - 0.77) * x0))),extrap-CV,0.0007110607211215844,0.011478644100888662,False,1.28*sin(sqrt(cos((((0.000315 / log(x0)) + 2.2) * x0)))) + -0.103 + -0.000975*x0 + 0.00015*x0^2,9,-7.149969308331906,382.38920497894287
20290749,1,full,4,5,0.0,sqrt(cos(((2.97 - 0.77) * x0))),interior-CV,0.0007110607211215844,0.011478644100888662,False,1.28*sin(sqrt(cos((((0.000315 / log(x0)) + 2.2) * x0)))) + -0.103 + -0.000975*x0 + 0.00015*x0^2,9,-7.650014129273832,382.38920497894287
20290749,1,full,4,5,0.0,sqrt(cos(((2.97 - 0.77) * x0))),train-MSE,0.0007110607211215844,0.011478644100888662,False,1.28*sin(sqrt(cos((((0.000315 / log(x0)) + 2.2) * x0)))) + -0.103 + -0.000975*x0 + 0.00015*x0^2,9,,382.38920497894287
20290750,1,full,4,2,0.0,cos((x0 - (sin(1.83))^2)),extrap-CV,1.263231399629469e-31,3.3304716123490643e-31,True,1*cos((0.0657 - ((x0 - (x0)^2) / x0))),5,-27.631021115928547,26.610063076019287
20290750,1,full,4,2,0.0,cos((x0 - (sin(1.83))^2)),interior-CV,1.263231399629469e-31,3.3304716123490643e-31,True,1*cos((0.0657 - ((x0 - (x0)^2) / x0))),5,-27.631021115928547,26.610063076019287
20290750,1,full,4,2,0.0,cos((x0 - (sin(1.83))^2)),train-MSE,1.263231399629469e-31,3.3304716123490643e-31,True,1*cos((0.0657 - ((x0 - (x0)^2) / x0))),5,,26.610063076019287
20290751,1,full,4,5,0.0,sqrt((x0 / (0.76 / (0.76 * x0)))),extrap-CV,1.1093356479670479e-31,1.56288994655703e-31,True,1*sqrt((x0)^2),2,-27.631021115928547,0.12247776985168457
20290751,1,full,4,5,0.0,sqrt((x0 / (0.76 / (0.76 * x0)))),interior-CV,1.1093356479670479e-31,1.56288994655703e-31,True,1*sqrt((x0)^2),2,-27.631021115928547,0.12247776985168457
